Date,Impressions (organic),Impressions (sponsored),Impressions (total),Unique impressions (organic),Clicks (organic),Clicks (sponsored),Clicks (total),Reactions (organic),Reactions (sponsored),Reactions (total),Comments (organic),Comments (sponsored),Comments (total),Reposts (organic),Reposts (sponsored),Reposts (total),Engagement rate (organic),Engagement rate (sponsored),Engagement rate (total)
2025-02-24,28,0,28,20,6,0,6,0,0,0,0,0,0,0,0,0,0.21428571428571427,0,0.21428571428571427
2025-02-25,26,0,26,13,27,0,27,0,0,0,0,0,0,0,0,0,1.0384615384615385,0,1.0384615384615385
2025-02-26,14,0,14,9,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-02-27,29,0,29,17,5,0,5,1,0,1,0,0,0,0,0,0,0.20689655172413793,0,0.20689655172413793
2025-02-28,28,0,28,16,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-03-01,10,0,10,6,2,0,2,1,0,1,0,0,0,0,0,0,0.3,0,0.3
2025-03-02,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-03-03,6,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-03-04,20,0,20,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-03-05,226,0,226,145,9,0,9,12,0,12,1,0,1,1,0,1,0.10176991150442478,0,0.10176991150442478
2025-03-06,55,0,55,31,2,0,2,1,0,1,0,0,0,0,0,0,0.05454545454545454,0,0.05454545454545454
2025-03-07,14,0,14,11,1,0,1,0,0,0,0,0,0,0,0,0,0.07142857142857142,0,0.07142857142857142
2025-03-08,144,0,144,80,14,0,14,5,0,5,2,0,2,2,0,2,0.1597222222222222,0,0.1597222222222222
2025-03-09,81,0,81,54,2,0,2,6,0,6,0,0,0,0,0,0,0.09876543209876543,0,0.09876543209876543
2025-03-10,166,0,166,111,4,0,4,10,0,10,0,0,0,1,0,1,0.09036144578313253,0,0.09036144578313253
2025-03-11,56,0,56,41,0,0,0,4,0,4,1,0,1,0,0,0,0.08928571428571429,0,0.08928571428571429
2025-03-12,29,0,29,20,1,0,1,1,0,1,0,0,0,0,0,0,0.06896551724137931,0,0.06896551724137931
2025-03-13,9,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-03-14,42,0,42,12,0,0,0,2,0,2,0,0,0,0,0,0,0.047619047619047616,0,0.047619047619047616
2025-03-15,8,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-03-16,32,0,32,15,1,0,1,1,0,1,0,0,0,0,0,0,0.0625,0,0.0625
2025-03-17,51,0,51,13,0,0,0,4,0,4,0,0,0,0,0,0,0.0784313725490196,0,0.0784313725490196
2025-03-18,19,0,19,13,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-03-19,11,0,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-03-20,106,0,106,54,7,0,7,5,0,5,0,0,0,0,0,0,0.11320754716981132,0,0.11320754716981132
2025-03-21,136,0,136,71,11,0,11,1,0,1,1,0,1,0,0,0,0.09558823529411764,0,0.09558823529411764
2025-03-22,38,0,38,16,2,0,2,0,0,0,0,0,0,0,0,0,0.05263157894736842,0,0.05263157894736842
2025-03-23,13,0,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-03-24,21,0,21,18,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-03-25,30,0,30,13,2,0,2,0,0,0,0,0,0,0,0,0,0.06666666666666667,0,0.06666666666666667
2025-03-26,155,0,155,54,20,0,20,4,0,4,2,0,2,0,0,0,0.16774193548387098,0,0.16774193548387098
2025-03-27,71,0,71,55,3,0,3,1,0,1,0,0,0,0,0,0,0.056338028169014086,0,0.056338028169014086
2025-03-28,63,0,63,23,3,0,3,1,0,1,0,0,0,0,0,0,0.06349206349206349,0,0.06349206349206349
2025-03-29,34,0,34,20,4,0,4,2,0,2,0,0,0,1,0,1,0.20588235294117646,0,0.20588235294117646
2025-03-30,16,0,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-03-31,25,0,25,13,1,0,1,0,0,0,0,0,0,0,0,0,0.04,0,0.04
2025-04-01,18,0,18,7,2,0,2,1,0,1,0,0,0,0,0,0,0.16666666666666666,0,0.16666666666666666
2025-04-02,69,0,69,9,10,0,10,0,0,0,0,0,0,0,0,0,0.14492753623188406,0,0.14492753623188406
2025-04-03,15,0,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-04-04,18,0,18,10,0,0,0,0,0,0,0,0,0,1,0,1,0.05555555555555555,0,0.05555555555555555
2025-04-05,20,0,20,13,3,0,3,0,0,0,0,0,0,0,0,0,0.15,0,0.15
2025-04-06,7,0,7,5,0,0,0,1,0,1,0,0,0,0,0,0,0.14285714285714285,0,0.14285714285714285
2025-04-07,24,0,24,12,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-04-08,19,0,19,11,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-04-09,5,0,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
2025-04-10,9,0,9,7,1,0,1,0,0,0,0,0,0,0,0,0,0.1111111111111111,0,0.1111111111111111
2025-04-11,14,0,14,8,2,0,2,0,0,0,0,0,0,0,0,0,0.14285714285714285,0,0.14285714285714285
2025-04-12,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0
